code	en_US	de_DE	fr_FR
Order this fine accessory		Bestellen Sie dieses feine Zusatzgerät 	Commandez cet fin accessoire
The Art Store Home Page		Die Kunst-Boutique	La boutique d'Art
Catalog		Katalog	Catalogue
Please print this receipt for your records. Thank you for your order!		Bitte drucken Sie diese Quittung aus f&uuml;r Ihre Ablage. Wir danken Ihnen f&uuml; Ihre Bestellung!
Subtotal		Zwischensumme	Sous total
Sort order		Reihenfolge des Suchergebnisses	Tri par
Breathtaking example of Van Gogh's work.			Un exemple a couper le souffle du travail de Van Gogh
searching			de rechercher
frac_digits	2	2	2
April		April	Avril
Reverse Title		Titel (umgekehrte Reihenfolge)	Titre (ordre inverse)
Number		Nummer	Num&eacute;ro
You are logged in as user		Sie sind als Benutzer angemeldet	Vous &egrave;tes entr&eacute;s comme utilisateur
currency_symbol	$	DM	FF
Surrealists		Surrealisten	Surréalistes
If you wish to do neither, just use the buttonbar or your browser's Back function to return to shopping.			Utilisez la fonction Retour de votre navigateur si vous ne souhaitez faire aucune modification.
MONA LISA			LA JOCONDE
I plan on returning, save my information (OOPS! credit card not encrypted with		I möchte wiederkommen, bitte bewahren Sie meine Angaben auf. (Hoppla, Ihre Kreditkarte ist nicht mit PGP verschlüsselt)	Je ferais de nouveaux achats dans ce magasin, sauvegardez mes informations confidentielles (PGP s.v.p)
Fields to search:			Criter&egrave;s de recherche:
No items at the moment.		Sie haben gar keine Ware ausgesucht.	
No items in your basket.		Sie haben gar keine Ware ausgesucht.
send you to a frame that will let you search on artist, title, or museum.		Dann landen Sie in einem neuen Fenster, in dem Sie nach K&uuml;nstlernamen, Titel oder Museen suchen k&ouml;nnen.	Cela vous enverra &agrave; une trame qui vous laissera rechercher sur l'artiste, le titre, ou le mus&eacute;e.
Low		Niedrig	Minimum
remove		l&ouml;schen	retirer
your favorite artist.			votre artiste pr&eacute;f&eacute;r&eacute;.
We have reproductions of some the great art of all ages.		Wir haben Reproduktionen von einigen der ber&uuml;hmtesten K&uuml;stler aller Zeiten.	Nous avons des reproductions des plus grands tableaux de tous les temps.
Name		Name	Nom
THE ART STORE T-SHIRT			LE T-SHIRT 'ART STORE'
Americana		Americana	Americana
Fill out the attached order form to place your order.		F&uuml;llen Sie das Bestellformular aus, um Ihren Einkauf zu beenden.	Vous n'aurez qu'&agrave; compl&eacute;ter le bon de commande pour faire votre achat.
Update without placing		Angaben erneuern ohne zu bestellen.	Modification sans placer la commande
Our electronic order form will automatically add it to your list.		Unser elektronisches Bestellformular wird Ihre Auswahl automatisch zu Ihrer Einkaufsliste hinzuf&uuml;gen.	Celle-ci sera automatiquement ajout&eacute;e au bon de commande &eacute;lectronique.
Billing Address (if different)		Rechnungsadresse	Adresse de facturation (si diff&eacute;rente)
Accessory		Zubeh&ouml;r	Accessoire
Basket			Panier
your name, address, and credit card information will be removed from our system		Ihre Kreditkarten Nummer wird von unserem System entfernt	et les informations relatives a votre carte de cr&eacute;dit' seront effac&eacute;es de notre syst&egrave;
Place Order!		Bestellen Sie!	Placer la Commande !
Username		Benutzername	Votre nom
Credit Card Information		Kreditkartenangaben	Carte de Cr&eacute;dit
Our Price		Unser Preis	Notre Prix
p_cs_precedes	1	
Reverse Price		Preis (umgekehrte Reihenfolge)	Prix d&eacute;croissant
We need these fields to process your order		Wir ben&ouml;tigen diese Angaben, um Ihre Bestellung anzunehmen	Nous avons besoin de ces renseignements pour prendre en compte votre commande
decimal_point	.	.	.
mon_thousands_sep	,	,	.
Browse		Bl&auml;ttern	Visite
Address		Adresse	Adresse
